date,division,district,city_area,market,market_bn,commodity,commodity_bn,variety,variety_bn,unit,unit_bn,price_min,price_max,price_mid,currency,source,source_url,confidence,lat,lon
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Onion-local,পেঁয়াজ-দেশি,,,kg,কেজি,59.87,61.69,60.78,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Potato,আলু,,,kg,কেজি,33.65,34.67,34.16,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Green Chili,কাঁচা মরিচ,,,kg,কেজি,213.72,220.22,216.97,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Garlic-local,রসুন-দেশি,,,kg,কেজি,175.34,180.68,178.01,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Broiler Chicken,ব্রয়লার মুরগি,,,kg,কেজি,155.67,160.41,158.04,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Beef,গরুর মাংস,,,kg,কেজি,715.94,737.74,726.84,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Egg,ডিম,Farm red,ফার্ম লাল,dozen,ডজন,142.08,146.4,144.24,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Soybean,সয়াবিন তেল,Loose,খোলা,litre,লিটার,155.32,160.06,157.69,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Sugar,চিনি,Local,দেশি,kg,কেজি,129.98,133.94,131.96,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Masur Dal,মসুর ডাল,Medium,মাঝারি,kg,কেজি,121.63,125.33,123.48,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
2026-06-04,Dhaka,Dhaka,Dhaka Metropolitan,Karwan Bazar,কারওয়ান বাজার,Ata (packet),আটা-প্যাকেট,,,kg,কেজি,56.71,58.43,57.57,BDT,demo template - replace with live market CSV/API,,demo only; not official; replace before publication,23.7516,90.3937
