date,commodity,unit,low,high,midpoint,source,snapshot_saved_at
2026-06-06,Ata (packet),per kg,58.0,61,59.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Beef,per kg,729.0,750,739.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Boro-Coarse,per kg,47.0,49,48.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Boro-Fine,per kg,66.0,70,68.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Boro-Medium,per kg,55.0,57,56.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Egg Farm-Red,per piece,11.8,12,11.9,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Farm-raised Hen,per kg,162.0,167,164.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Garlic-Imported,per kg,192.0,204,198.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Garlic-local,per kg,173.0,186,179.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Ginger-Imported,per kg,167.0,186,176.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Ginger-local,per kg,154.0,174,164.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Gram-Whole,per kg,85.0,90,87.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Green Chili,per kg,190.0,230,210.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Iodized Salt (Packed),per packet,32.0,40,36.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Mung,per kg,122.0,128,125.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Mutton,per kg,900.0,1100,1000.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Onion-local,per kg,60.0,64,62.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Potato,per kg,25.0,30,27.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Soybean,per litre,163.0,165,164.0,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
2026-06-06,Sugar (Local),per kg,132.0,135,133.5,Department of Agricultural Marketing (DAM) — cached official reference snapshot,2026-06-06 00:00:00
