date,market,area,commodity,category,unit,price_min,price_max,price,source,source_url,verified,latitude,longitude
2026-05-31,Karwan Bazar,Tejgaon,Rice (coarse),Rice,kg,51,55,53,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Rice (medium),Rice,kg,58,62,60,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Rice (fine),Rice,kg,73,77,75,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Lentil (masur),Pulse,kg,128,132,130,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Soybean oil,Oil,Litre,168,172,170,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Onion,Vegetable,kg,65,69,67,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Potato,Vegetable,kg,42,46,44,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Egg,Protein,dozen,118,122,120,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Broiler chicken,Protein,kg,183,187,185,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Sugar,Grocery,kg,122,126,124,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Garlic,Spice,kg,208,212,210,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Ginger,Spice,kg,233,237,235,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Karwan Bazar,Tejgaon,Flour (atta),Grocery,kg,54,58,56,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7516,90.3935
2026-05-31,Shyambazar,Old Dhaka,Rice (coarse),Rice,kg,48,52,50,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Rice (medium),Rice,kg,56,60,58,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Rice (fine),Rice,kg,71,75,73,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Lentil (masur),Pulse,kg,124,128,126,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Soybean oil,Oil,Litre,163,167,165,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Onion,Vegetable,kg,63,67,65,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Potato,Vegetable,kg,39,43,41,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Egg,Protein,dozen,118,122,120,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Broiler chicken,Protein,kg,178,182,180,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
2026-05-31,Shyambazar,Old Dhaka,Sugar,Grocery,kg,118,122,120,PREVIEW ONLY - replace with verified DAM/TCB market-wise feed,,True,23.7116,90.4127
